✅ 使用阿里云百炼（通义千问）API
✅ AI 客户端初始化成功 - 提供商: DashScope

==================================================
🚀 视频播放器后端服务已启动
==================================================
📡 服务地址: http://localhost:3000
🤖 AI 提供商: DashScope
📝 API 文档:
   - GET  /api/health              健康检查
   - GET  /api/moments             获取动态列表
   - POST /api/moments             发布新动态
   - POST /api/moments/:id/like    点赞/取消点赞
   - POST /api/moments/:id/comments 发表评论
==================================================

✅ 初始数据已加载
2025-11-24T03:36:07.350Z - GET /api/moments
2025-11-24T03:36:12.350Z - GET /api/moments
2025-11-24T03:36:17.350Z - GET /api/moments
2025-11-24T03:36:22.350Z - GET /api/moments
2025-11-24T03:36:24.851Z - GET /api/moments
2025-11-24T03:36:27.350Z - GET /api/moments
2025-11-24T03:36:32.350Z - GET /api/moments
2025-11-24T03:36:37.350Z - GET /api/moments
2025-11-24T03:36:42.350Z - GET /api/moments
2025-11-24T03:36:47.349Z - GET /api/moments
2025-11-24T03:36:52.350Z - GET /api/moments
2025-11-24T03:36:57.350Z - GET /api/moments
2025-11-24T03:37:02.350Z - GET /api/moments
2025-11-24T03:37:07.350Z - GET /api/moments
2025-11-24T03:37:12.350Z - GET /api/moments
2025-11-24T03:37:17.350Z - GET /api/moments
2025-11-24T03:37:22.350Z - GET /api/moments
2025-11-24T03:37:24.851Z - GET /api/moments
2025-11-24T03:37:27.350Z - GET /api/moments
2025-11-24T03:37:32.350Z - GET /api/moments
2025-11-24T03:37:37.350Z - GET /api/moments
2025-11-24T03:37:42.350Z - GET /api/moments
2025-11-24T03:37:47.350Z - GET /api/moments
2025-11-24T03:37:52.350Z - GET /api/moments
2025-11-24T03:37:57.350Z - GET /api/moments
2025-11-24T03:38:02.350Z - GET /api/moments
2025-11-24T03:38:07.350Z - GET /api/moments
2025-11-24T03:38:12.350Z - GET /api/moments
2025-11-24T03:38:17.349Z - GET /api/moments
2025-11-24T03:38:22.349Z - GET /api/moments
2025-11-24T03:38:24.851Z - GET /api/moments
2025-11-24T03:38:27.350Z - GET /api/moments
2025-11-24T03:38:32.350Z - GET /api/moments
2025-11-24T03:38:37.350Z - GET /api/moments
2025-11-24T03:38:42.350Z - GET /api/moments
2025-11-24T03:38:47.350Z - GET /api/moments
2025-11-24T03:38:52.350Z - GET /api/moments
2025-11-24T03:38:57.350Z - GET /api/moments
2025-11-24T03:39:02.350Z - GET /api/moments
2025-11-24T03:39:07.350Z - GET /api/moments
2025-11-24T03:39:12.350Z - GET /api/moments
2025-11-24T03:39:17.350Z - GET /api/moments
2025-11-24T03:39:22.350Z - GET /api/moments
2025-11-24T03:39:24.851Z - GET /api/moments
2025-11-24T03:39:27.350Z - GET /api/moments
2025-11-24T03:39:32.349Z - GET /api/moments
2025-11-24T03:39:37.349Z - GET /api/moments
2025-11-24T03:39:42.349Z - GET /api/moments
2025-11-24T03:39:47.350Z - GET /api/moments
2025-11-24T03:39:52.350Z - GET /api/moments
2025-11-24T03:39:57.350Z - GET /api/moments
2025-11-24T03:40:02.350Z - GET /api/moments
2025-11-24T03:40:07.350Z - GET /api/moments
2025-11-24T03:40:12.350Z - GET /api/moments
2025-11-24T03:40:17.349Z - GET /api/moments
2025-11-24T03:40:22.350Z - GET /api/moments
2025-11-24T03:40:24.850Z - GET /api/moments
2025-11-24T03:40:27.349Z - GET /api/moments
2025-11-24T03:40:32.350Z - GET /api/moments
2025-11-24T03:40:37.349Z - GET /api/moments
2025-11-24T03:40:42.350Z - GET /api/moments
2025-11-24T03:40:47.350Z - GET /api/moments
2025-11-24T03:40:52.350Z - GET /api/moments
2025-11-24T03:40:57.350Z - GET /api/moments
2025-11-24T03:41:02.350Z - GET /api/moments
2025-11-24T03:41:07.350Z - GET /api/moments
2025-11-24T03:41:12.350Z - GET /api/moments
